source,tv_pattern,emisora_pattern,asset_class,subclase,mapped_by,notes
CNBV,1ISP,IEFA,Renta Variable Internacional,ETF desarrollados ex-US,catalogo_etf,
CNBV,1ISP,IEMG,Renta Variable Internacional,ETF emergentes,catalogo_etf,
CNBV,1ISP,EIMI,Renta Variable Internacional,ETF emergentes,catalogo_etf,iShares Core MSCI EM IMI UCITS
CNBV,1ISP,CEMA,Renta Variable Internacional,ETF emergentes,catalogo_etf,
CNBV,1ISP,QQQM,Renta Variable Internacional,ETF Nasdaq 100,catalogo_etf,
CNBV,1ISP,QQQ,Renta Variable Internacional,ETF Nasdaq 100,catalogo_etf,
CNBV,1ISP,IUIT,Renta Variable Internacional,ETF sector tecnologia,catalogo_etf,
CNBV,1ISP,XLK,Renta Variable Internacional,ETF sector tecnologia,catalogo_etf,
CNBV,1ISP,QUAL,Renta Variable Internacional,ETF factor calidad,catalogo_etf,
CNBV,1ISP,IUQA,Renta Variable Internacional,ETF factor calidad,catalogo_etf,
CNBV,1ISP,EWJ,Renta Variable Internacional,ETF Japon,catalogo_etf,
CNBV,1ISP,GLD,Mercancias,ETF oro,catalogo_etf,
CNBV,1ISP,IAU,Mercancias,ETF oro,catalogo_etf,
CNBV,1ISP,SGLN,Mercancias,ETF oro,catalogo_etf,
CNBV,1ISP,IGLN,Mercancias,ETF oro,catalogo_etf,
CNBV,1ISP,SLV,Mercancias,ETF plata,catalogo_etf,
CNBV,1ISP,PDBC,Mercancias,ETF materias primas,catalogo_etf,
CNBV,1ISP,DBC,Mercancias,ETF materias primas,catalogo_etf,
CNBV,1I,IB1MXX,Deuda Internacional,ETF Treasuries corto (MXN hedged),catalogo_etf,
CNBV,1I,IBTMXX,Deuda Internacional,ETF Treasuries corto (MXN hedged),catalogo_etf,
CNBV,1I,IDTXX,Deuda Internacional,ETF Treasuries medio (MXN hedged),catalogo_etf,
CNBV,1I,MBIL,Deuda Internacional,ETF Treasuries corto,catalogo_etf,
CNBV,1I,MB3M,Deuda Internacional,ETF Treasuries corto,catalogo_etf,
CNBV,1I,EMBMXX,Deuda Internacional,ETF deuda emergente (MXN hedged),catalogo_etf,
CNBV,1I,LQDMX,Deuda Internacional,ETF corporativo IG (MXN hedged),catalogo_etf,
CNBV,1I,IHYMXX,Deuda Internacional,ETF high yield (MXN hedged),catalogo_etf,
CNBV,1I,CSPXX,Renta Variable Internacional,ETF S&P 500 (MXN hedged),catalogo_etf,
CNBV,1ISP,IVE,Renta Variable Internacional,ETF S&P 500 value,catalogo_etf,
CNBV,1ISP,IVW,Renta Variable Internacional,ETF S&P 500 growth,catalogo_etf,
CNBV,1ISP,EFV,Renta Variable Internacional,ETF desarrollados value,catalogo_etf,
CNBV,1ISP,VGT,Renta Variable Internacional,ETF sector tecnologia,catalogo_etf,
CNBV,1ISP,EZU,Renta Variable Internacional,ETF eurozona,catalogo_etf,
CNBV,1ISP,VGK,Renta Variable Internacional,ETF Europa,catalogo_etf,
CNBV,1ISP,MTUM,Renta Variable Internacional,ETF factor momentum,catalogo_etf,
CNBV,1ISP,VIG,Renta Variable Internacional,ETF dividendos,catalogo_etf,
CNBV,1ISP,VWO,Renta Variable Internacional,ETF emergentes,catalogo_etf,
CNBV,1ISP,EEM,Renta Variable Internacional,ETF emergentes,catalogo_etf,
CNBV,1ISP,VEA,Renta Variable Internacional,ETF desarrollados ex-US,catalogo_etf,
CNBV,1ISP,CNDX,Renta Variable Internacional,ETF Nasdaq 100,catalogo_etf,iShares Nasdaq 100 UCITS
CNBV,1ISP,KBWB,Renta Variable Internacional,ETF bancos US,catalogo_etf,
CNBV,1ISP,IUVL,Renta Variable Internacional,ETF factor value,catalogo_etf,iShares Edge MSCI USA Value UCITS
CNBV,1ISP,CJPU,Renta Variable Internacional,ETF Japon (USD hedged),catalogo_etf,
CNBV,1ISP,SPTS,Deuda Internacional,ETF Treasuries corto,catalogo_etf,SPDR Portfolio Short Term Treasury
CNBV,1ISP,CBU0,Deuda Internacional,ETF Treasuries corto,catalogo_etf,iShares $ Treasury 0-1yr UCITS (USD)
CNBV,1ISP,JU13,Deuda Internacional,ETF Treasuries corto,catalogo_etf,JPM BetaBuilders US Treasury 1-3yr UCITS
CNBV,1ISP,JU3M,Deuda Internacional,ETF Treasuries corto,catalogo_etf,JPM BetaBuilders US Treasury 0-3M UCITS
CNBV,1ISP,VAGU,Deuda Internacional,ETF agregado global,catalogo_etf,Vanguard Global Aggregate Bond UCITS
CNBV,1ISP,CORP,Deuda Internacional,ETF corporativo IG,catalogo_etf,iShares Global Corp Bond UCITS
CNBV,1ISP,IHYA,Deuda Internacional,ETF high yield,catalogo_etf,iShares $ High Yield Corp UCITS
